,식품명,energy,protein,calcium,phosphorus,iron,niacin,folate,vitaC,thiamin,riboflavin
6395,어묵국,106.95,5.2,67.74,86.4,0.66,1.36,19.38,0,0.1,0.04
6396,얼갈이배춧국,36.23,2,105.35,51.18,1.1,0.56,10.49,1.18,0,0.33
6397,오이냉국,38.17,1.47,31.9,39.39,0.19,0.62,20.33,0,0.76,0.05
6398,오징어국,91.91,11.1,23.58,181.13,0.23,2.11,15.6,0,1.1,0.28
6399,우거지곰탕,88.55,8.29,58.07,97.51,1.33,0,7.45,0,0.34,0.13
6400,우거지된장국,78.61,11.08,57.28,127.66,1.4,2.87,69.48,0,2.66,0.2
6401,육개장,130.33,16.21,72.71,183.52,2.45,43.2,42.84,0,0,0.27
6402,일본된장국,20.6,1.42,25.84,36.09,0.28,0.91,26.83,0.34,0,0.04
6403,재첩국,81.91,2.33,70.18,22.13,2.52,0,9.99,0.62,0,0.12
6404,조갯국,62.72,6.67,27.95,94.18,5.21,0.48,22.36,12.77,1.51,0.18
6405,콩나물국,24.66,2.95,37.97,49.08,0.32,0.18,18.11,0.89,0,0.09
6406,콩나물된장국,123.17,10.31,81.67,173.6,2.03,5.38,45.62,0,0,0.29
6407,토란국,62.09,4.01,33.75,62.57,0.33,1.84,15.52,1.39,0.09,0.07
6408,해물된장국,111.58,8.38,110.04,172.08,2.41,7.25,34.83,6.17,1.67,0.21
6409,호박잎된장국,23.1,1.41,28.87,35.15,0.79,0,19.86,0,0.5,0.04
6410,홍합무국,87.05,2.76,61.1,61.04,0.77,4.07,54.83,5.9,0,0.1
6411,갓김치,16.53,1.03,41.61,24.17,0.79,0,40.11,0,0.05,0.05
6412,고들빼기김치,35.27,1.5,34.51,20.92,1.12,0.21,8.54,0.48,0.11,0.06
6413,깍두기,16.4,0.78,22.7,17.79,0.14,0.23,7.33,0.27,0.05,0.03
6414,깻잎김치,31.15,1.41,36.02,27.28,0.34,0.69,14.71,1.42,0.04,0.07
6415,나박김치,9.82,0.46,7.87,9.69,0.2,0,10.91,2.14,0.14,0.02
6416,돌나물물김치,19.78,1.25,84.75,20.66,0.48,0.02,46.54,0,0.58,0.09
6417,동치미,27.21,0.58,14.41,24.47,0.86,0.06,21.36,2.43,0,0.03
6418,배추김치,10.66,0.68,16,18.12,0.19,0,5.66,1.08,0.15,0.02
6419,백김치,16.56,0.92,24.78,25.71,0.24,0,13.25,0,0.18,0.03
6420,보쌈김치,27.21,1.97,34.54,41.65,0.52,0,22.34,0.49,0.03,0.07
6421,부추김치,23.33,1.34,18.58,21.87,0.25,0.86,30.36,0.21,0.04,0.06
6422,얼갈이배추김치,50.46,1.27,45.7,20.86,0.41,0,14.5,0.03,0.04,0.06
6423,열무김치,10.71,0.72,45.27,24.12,0.04,0.34,48.08,1.42,0.6,0.04
6424,오이김치,26.54,1.44,24.38,40.41,0.42,0.16,11.66,0.82,0.12,0.07
6425,오이소박이,32.38,1.73,23.21,42.48,0.48,0,15.12,0,0.97,0.05
6426,총각김치,22.89,0.98,30.07,34.73,0.36,0.86,31.37,1.54,0.16,0.04
6427,파김치,13.32,0.77,14.73,16.91,0.18,0.08,8.65,0.74,0,0.04
6428,가죽나물무침,60.54,4.66,55.42,87.31,1.9,0,47.46,2.04,0.44,0.06
6429,가지나물무침,17.95,0.71,11.6,22.54,0.12,0.33,5.51,0.4,0,0.03
6430,건취나물무침,44.4,1.81,87.61,18.84,0.91,0,1.15,0.25,0,0.11
6431,고구마줄기나물무침,41.64,0.49,55.41,14.32,0.15,0.05,1.22,0.08,0,0.03
6432,고사리나물무침,44.97,1.89,34.83,31.65,0.58,0.03,5.12,0,0,0.03
6433,고춧잎나물무침,79.55,3.97,183.39,65.85,1.14,0.18,42.83,0,1.07,0.16
6434,깻잎나물무침,38.76,1.34,46.65,26.57,0.39,1.3,31.17,1.14,0,0.08
6435,냉이나물무침,66.3,3.01,81.36,57.24,1.79,6.38,28.09,0,0.08,0.11
6436,도라지나물무침,65.04,1.24,23.76,26.54,0.22,0.08,5.4,0,0,0.02
6437,머위대나물무침,28.95,1.98,119.01,37.99,0.79,0.02,11.6,1.07,0.01,0.03
6438,무나물무침,10.56,0.31,12.32,5.44,0.03,0.03,7.62,0.12,0.07,0.01
6439,방풍나물무침,60.76,3.51,142.45,61.03,0.66,0.03,163.57,0,0.18,0.26
6440,배추나물무침,49.19,1.61,30.53,43.62,0.45,0,40.69,6.37,0,0.05
6441,비름나물무침,58.48,2.77,155.62,45.39,0.69,0.35,4.04,0,0.2,0.05
6442,숙주나물무침,17.5,1.11,7.49,17.79,0.18,0,11.57,0.53,0.01,0.03
6443,시금치나물무침,34.28,1.87,43.06,29.17,0.64,0.45,17.32,0.13,0,0.1
6444,시래기나물무침,56.84,2.16,93.15,31.61,1.86,0.4,3.82,0.08,0.14,0.02
6445,씀바귀나물무침,87.63,3.48,41.19,82.56,1.28,2.31,20.64,1.28,0,0.09
6446,애호박볶음,29.52,0.66,16.91,20.14,0.19,0.29,14.16,0,0,0.04
6447,열무나물무침,74.13,3.52,124.37,66.82,0.72,0,46.02,3.14,0,0.09
6448,열무된장나물무침,61.23,3.34,115.21,64.4,0.73,0,39.23,0.3,0,0.18
